Specimen_Collection_Date,Specimen_Collection_Location,Specimen_Collection_Location_Country,Specimen_Collection_Location_Longitude,Gene_Symbol,Specimen_Collection_Location_Latitude
2014,UnknownXXX,United Kingdom,-3.2765753,aadE,54.7023545
"",,,,aadK,
"",,,,abeM,
"",,,,abeS,
"",,,,acrA,
"",,,,acrA,
"",,,,acrB,
"",,,,acrD,
1999,UnknownXXX,Peru,-75.0458515,acrF,-6.8699697
"",,,,acrR,
"",,,,acrR,
"",,,,acrS,
2006-06-06," New York state",United States of America,-75.8449946,adeA,43.1561681
"",,,,adeB,
2/13/2012,Daegu,Korea (South),,adeC,
2008-02-04,UnknownXXX,United Kingdom,-3.2765753,adeF,54.7023545
"",,,,adeG,
"",,,,adeH,
"",,,,adeI,
2012-04-04,UnknownXXX,United Kingdom,-3.2765753,adeJ,54.7023545
29-Oct-2015," FL",United States of America,-81.4639835,adeK,27.7567667
"",,,,adeL,
2011-11-30,UnknownXXX,United Kingdom,-3.2765753,adeN,54.7023545
2011-11-16,UnknownXXX,United Kingdom,-3.2765753,adeR,54.7023545
"",,,,adeS,
"",,,,amrA,
"",,,,amrB,
"",,,,aph(3'),
2010,UnknownXXX,United States of America,-100.4458825,aph(6),39.7837304
"",,,,apmA,
"",,,,arlR,
"",,,,armA,
"",,,,arr,
"",,,,arr,
1998,UnknownXXX,Niger,9.3238432,arr,17.7356214
"",,Brazil,,arr,
"",,Brazil,,arr,
"",,,,arr,
"",,,,arr,
2014," GA",United States of America,-83.1137366,axyX,32.3293809
"",,,,axyY,
"",,,,bacA,
"",,,,baeR,
"",,,,baeS,
2007-01-10,UnknownXXX,United Kingdom,-3.2765753,pmrA,54.7023545
"",,,,pmrB,
2015,,Canada,,bcr,
"",,,,bcrA,
"",,,,bcrB,
"",,,,bcrC,
"",,,,blaACC,
"",,,,blaACC,
"",,,,blaACC,
"",,,,blaACC,
"",,,,blaACC,
"",,,,blaACC,
"",,,,blaACC,
"",,,,blaACC,
"",,,,blaACC,
2014,UnknownXXX,United Kingdom,-3.2765753,blaACI1,54.7023545
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"","Wuhu, Xuancheng District Hospital",China,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,Korea (South),,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaACT,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
01-Jul-2016," Michigan",United States of America,-84.6824346,blaADC,43.6211955
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaADC,
"",,,,blaAER,
2011," Alberta",Canada,-115.002136,blaAIM,55.001251
"",,,,blaAQU,
Mar-2011,UnknownXXX,Bangladesh,90.2932426,blaAQU,24.4768783
""," WA",United States of America,-120.2126139,blaAQU,47.2868352
"",,,,blaAST,
"",,,,blaAZECL,
"",,,,blaAmpC,
"",,,,blaAmpC,
"",,,,blaAmpH,
"",,,,blaB,
"",,,,blaB,
"",,,,blaB,
2008-01-28,UnknownXXX,United Kingdom,-3.2765753,blaB,54.7023545
"",,,,blaB,
"",,,,blaB,
"",,,,blaB,
"",,,,blaB,
"",,,,blaB,
2008-01-28,UnknownXXX,United Kingdom,-3.2765753,blaB,54.7023545
"",,,,blaB,
"",,,,blaB,
"",,,,blaB,
"",,,,blaBEL,
"",,,,blaBEL,
"",,,,blaBEL,
"",,Brazil,,blaBES,
"",,,,blaBIC,
"",,,,blaBIL,
"",,,,blaBJP,
"",,,,blaBKC,
2004,UnknownXXX,Brazil,-53.2,blaBRO,-10.3333333
2007-10-01," FL",United States of America,-81.4639835,blaBRO,27.7567667
2000,UnknownXXX,Venezuela,-66.1109318,blaBcI,8.0018709
"",,,,blaBcII,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
2017," Terengganu",Malaysia,102.8685869,blaCARB,5.2050722
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
6/17/2012,DE,United States of America,,blaCARB,
27-May-07,LA,United States of America,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",UnknownXXX,Germany,10.4234469,blaCARB,51.0834196
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
2014," TX",United States of America,-99.5120986,blaCARB,31.8160381
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
2012,UnknownXXX,United States of America,-100.4458825,blaCARB,39.7837304
14-Sep-2010,UnknownXXX,United States of America,-100.4458825,blaCARB,39.7837304
30-Jun-2014," Beijing",China,116,blaCARB,39
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
"",,,,blaCARB,
2017,UnknownXXX,Germany,10.4234469,blaCAU,51.0834196
"",,,,blaCFE,
2008-01-23,UnknownXXX,United Kingdom,-3.2765753,blaCGA,54.7023545
"",,,,blaCGB,
"",,,,blaCIA,
"",,,,blaCIA,
"",,,,blaCIA,
1995,UnknownXXX,Denmark,10.3333283,blaCIA,55.670249
"",,,,blaCKO,
2008-01-30,UnknownXXX,United Kingdom,-3.2765753,blaCME,54.7023545
"",,,,blaCMG,
"",,,,blaCMH,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
1/3/2016,Nice,France,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"","Sant Pau Hospital, Barcelona",Spain,,blaCMY,
"",,,,blaCMY,
"","Sant Pau Hospital, Barcelona",Spain,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,Switzerland,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"","Sant Pau Hospital, Barcelona",Spain,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,Korea (South),,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
1988-12-21," MI",United States of America,-100.4458825,blaCMY,39.7837304
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,Viet Nam,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCMY,
"",,,,blaCPS,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,Kenya,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,China,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,China,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",Zhejiang Province,China,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,Greece,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,China,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",Irkutsk,Russian Federation,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
